index,longitude,latitude,geometry,count
0,8.656137924946911,50.107142366518794,POINT (8.656137924946911 50.10714236651879),1
1,12.989403667389121,55.61787749902247,POINT (12.98940366738912 55.61787749902247),1
2,7.74976325582236,48.6008824308407,POINT (7.74976325582236 48.6008824308407),1
3,37.61996058636344,55.76352178387508,POINT (37.61996058636344 55.76352178387508),1
4,-0.5948050788579384,44.786418608756,POINT (-0.5948050788579384 44.786418608756),1
5,12.990549054458075,55.61685096734057,POINT (12.99054905445808 55.61685096734057),1
6,2.3801539756265284,48.96192938972354,POINT (2.380153975626528 48.96192938972354),1
7,37.62004868016581,55.764173057751805,POINT (37.62004868016581 55.7641730577518),1
8,16.422725253004,41.27861668880964,POINT (16.422725253004 41.27861668880964),1
9,16.326647352579336,48.19208779288087,POINT (16.32664735257934 48.19208779288087),1
10,2.3814959183249207,48.96097427185669,POINT (2.381495918324921 48.96097427185669),1
11,-31.92120262130488,50.98726854744012,POINT (-31.92120262130488 50.98726854744012),1
12,2.382274429491858,48.959207534305385,POINT (2.382274429491858 48.95920753430538),1
13,16.42216584478607,41.27676512639819,POINT (16.42216584478607 41.27676512639819),1
14,40.32002758249641,47.7416762512837,POINT (40.32002758249641 47.7416762512837),1
15,6.374216585594317,51.37747477804192,POINT (6.374216585594317 51.37747477804192),1
16,16.42066816632668,41.2736126926139,POINT (16.42066816632668 41.2736126926139),1
17,16.320356985703278,48.19080452350471,POINT (16.32035698570328 48.19080452350471),1
18,4.27199662861973,52.098342088096935,POINT (4.27199662861973 52.09834208809693),1
19,8.566432366411387,47.40763033619506,POINT (8.566432366411387 47.40763033619506),1
20,6.154227669422626,46.200479956437114,POINT (6.154227669422626 46.20047995643711),1
21,10.780329951448508,43.87143714999381,POINT (10.78032995144851 43.87143714999381),1
22,-16.305588910498454,28.46180302950637,POINT (-16.30558891049845 28.46180302950637),1
23,12.73407052864045,56.07492323316397,POINT (12.73407052864045 56.07492323316397),1
24,-0.3734343221287264,51.49491697619433,POINT (-0.3734343221287264 51.49491697619433),1
25,8.72653694298423,47.499905199510934,POINT (8.726536942984231 47.49990519951093),1
26,-2.201621952560544,53.54740827509547,POINT (-2.201621952560544 53.54740827509547),1
